Job_Title,Location,Salary,Monthly_Salary,Locality,State
WANTED FRESHERS FOR OFFICE WORK,"Saravanampatti, Coimbatore, Tamil Nadu","₹13,500 - ₹16,500 a month",15000.0,Saravanampatti,Tamil Nadu
Electrical Technician,"Sion, Mumbai, Maharashtra","₹15,000 - ₹25,000 a month",20000.0,Sion,Maharashtra
Asst. Purchase Manager,"Calicut, Kerala","₹15,000 - ₹25,000 a month",20000.0,Remote,Kerala
Administration / Office Admin,"Laxmi Nagar, Delhi, Delhi",Not specified,19250.0,Laxmi Nagar,Delhi
Process Associate,"Coimbatore, Tamil Nadu",Not specified,19250.0,Remote,Tamil Nadu
Stevedore (24*7),"Tuticorin, Tamil Nadu","₹10,000 - ₹15,000 a month",12500.0,Remote,Tamil Nadu
Digital Marketing Intern,Remote,"₹7,000 - ₹10,000 a month",8500.0,Remote,Remote
System Officer,"Chengannur, Kerala","₹13,000 - ₹15,000 a month",14000.0,Remote,Kerala
Management Trainee,"Calicut, Kerala",Not specified,19250.0,Remote,Kerala
LaTeX Research Documents Editor,"Cannanore, Kerala","₹15,000 - ₹20,000 a month",17500.0,Remote,Kerala
Office Executive Fresher,"Mayur Vihar, Delhi, Delhi","₹16,500 - ₹22,500 a month",19500.0,Mayur Vihar,Delhi
Knitting Specialist,"Palsana, Surat, Gujarat","₹30,000 - ₹40,000 a month",35000.0,Palsana,Gujarat
Tele Caller (English - WFH),Remote,"₹8,086.00 - ₹29,639.40 a month",18862.7,Remote,Remote
Junior Process Associate (Voice Process),"Coimbatore, Tamil Nadu","Up to ₹18,000 a month",19250.0,Remote,Tamil Nadu
Accountant,"Devanhalli, Karnataka","₹12,000 - ₹15,000 a month",13500.0,Remote,Karnataka
fb poster designer,Remote,₹180 a day,180.0,Remote,Remote
Manual Tester,"Pallavaram, Chennai, Tamil Nadu","₹16,000 - ₹34,000 a month",25000.0,Pallavaram,Tamil Nadu
Video Editor,Remote,"₹20,000 - ₹30,000 a month",25000.0,Remote,Remote
Operator Trainee(Fresher),"Kangayam, Tamil Nadu","₹10,000 - ₹12,000 a month",11000.0,Remote,Tamil Nadu
Supervisor,Remote,"From ₹15,000 a month",19250.0,Remote,Remote
Dog Walker,"Saket, Delhi, Delhi","₹11,000 - ₹18,000 a month",14500.0,Saket,Delhi
Wedding Album Designers in Trivandrum,"Kariavattom, Thiruvananthapuram, Kerala","₹5,000 - ₹25,000 a month",15000.0,Kariavattom,Kerala
BE/ ME Freshers,"Nagercoil, Tamil Nadu","₹10,000 - ₹16,000 a month",13000.0,Remote,Tamil Nadu
Research Analyst,Delhi,Not specified,19250.0,Delhi,Delhi
"Jio point manager in uluthurpet,madapattu, Kandachipuram, Vikravandi, Valavanur, Villupuram","Villupuram, Tamil Nadu","₹22,000 a month",22000.0,Remote,Tamil Nadu
Academic Consultant,"Kochi, Kerala","₹12,000 - ₹20,000 a month",16000.0,Remote,Kerala
Front Office Staff,"Bhopal, Madhya Pradesh",Not specified,19250.0,Remote,Madhya Pradesh
Programming Assistants,"Cannanore, Kerala",Not specified,19250.0,Remote,Kerala
Delivery Executive/Delivery Partner,"Dehradun, Uttarakhand","₹18,000 - ₹35,000 a month",26500.0,Remote,Uttarakhand
Video Editor,Remote,"₹3,000 - ₹4,000 a month",3500.0,Remote,Remote
Delivery Assistant,"Gulbarga, Karnataka","₹12,847 a month",12847.0,Remote,Karnataka
HR Intern,Remote,"₹10,000 - ₹15,000 a month",12500.0,Remote,Remote
Trainee - Analyst Investigation,"Bengaluru, Karnataka",Not specified,19250.0,Remote,Karnataka
Document Verification Executive Fresher,"Ghitorni, Delhi, Delhi","₹14,500 a month",14500.0,Ghitorni,Delhi
